;год;;;;;;;wikipedia
1;;101;Новый год;ru;1;1 января;3774070;Новый_год
2;;101;Всемирный день мира;ru;2;1 января;0;Всемирный_день_мира
3;1959;201;Запущена первая автоматическая межпланетная станция «Луна-1»;ru;1;2 января;0;Луна-1
4;1929;301;Родился Гордон Мур, основатель корпорации Intel;ru;1;3 января;0;Мур,_Гордон
5;1956;301;Родился Мел Гибсон;ru;2;3 января;0;Гибсон,_Мел
6;1643;401;Родился Исаак Ньютон;ru;1;4 января;0;Ньютон,_Исаак
7;2004;401;Марсоход «Спирит» совершил посадку на Марсе;ru;2;4 января;0;Спирит_(марсоход)
8;;501;Родился Хаяо Миядзаки;ru;1;5 января;0;Миядзаки,_Хаяо
9;;501;Родился итальянский писатель Умберто Эко;ru;2;5 января;0;Эко,_Умберто
10;;601;Рождественский сочельник восточных христиан;ru;1;6 января;0;Сочельник
11;;701;Православное Рождество Христово;ru;1;7 января;0;Рождество_Христово
12;;701;Скончался изобретатель, физик Никола Тесла;ru;2;7 января;0;Тесла,_Никола
13;1935;801;День рождения Элвиса Пресли;ru;1;8 января;0;Пресли,_Элвис
14;1941;801;День рождения художника Бориса Вальехо;ru;2;8 января;0;Вальехо,_Борис
15;;1001;Ратифицирован Версальский договор, окончивший Первую мировую войну;ru;1;10 января;0;Версальский_договор
16;;1101;День Заповедников;ru;1;11 января;0;День_заповедников_и_национальных_парков
17;;1201;День работника прокуратуры РФ;ru;2;12 января;0;День_работника_прокуратуры_(Россия)
18;1976;1201;Скончалась английская писательница Агата Кристи;ru;1;12 января;0;Кристи,_Агата
19;;1301;День Российской Печати;ru;1;13 января;0;День_российской_печати
20;;1401;Старый Новый Год;ru;1;14 января;0;Старый_Новый_год
21;2001;1501;День Википедии;ru;1;15 января;0;История_Википедии
22;1891;1501;Родился Осип Эмильевич Мандельштам;ru;2;15 января;0;Мандельштам,_Осип_Эмильевич
23;;1601;День рождения британской супермодели Кейт Мосс;ru;1;16 января;0;Мосс,_Кейт
24;;1701;День рождения Бенжамина Франклина;ru;1;17 января;0;Франклин,_Бенджамин
25;;1901;Крещение Господне;ru;1;19 января;0;Крещение_Господне
26;;2001;Скончалась актриса  Одри Хепберн;ru;1;20 января;0;Хепбёрн,_Одри
27;1986;2101;День объятий;ru;1;21 января;0;День_объятий
28;;2101;День Инженерных Войск;ru;2;21 января;0;Инженерные_войска
29;;2201;Кровавое воскресенье 1905г.;ru;1;22 января;0;Кровавое_воскресенье_(1905)
30;;2301;Скончался Сальвадор Дали;ru;1;23 января;0;Дали,_Сальвадор
31;;2401;Начало I Зимних Олипийских Игр;ru;1;24 января;0;Олимпийские_игры
32;;2501;День рождения Владимира Высоцкого;ru;2;25 января;0;Высоцкий,_Владимир_Семёнович
33;;2501;День российского студенчества / Татьянин День;ru;1;25 января;0;Татьянин_день
34;;2501;День Штурмана ВМФ;ru;3;25 января;0;День_штурмана_ВМФ_РФ
35;;2601;Международный день таможенника;ru;1;26 января;0;Международный_день_таможенника
36;;2701;Международный день памяти жертв Холокоста;ru;2;27 января;0;Международный_день_памяти_жертв_Холокоста
37;1944;2701;День воинской славы России-Снятие блокады Ленинграда;ru;1;27 января;0;Блокада_Ленинграда
38;;2801;Катастрофа космического корабля «Челленджер»;ru;1;28 января;0;Катастрофа_шаттла_«Челленджер»
39;;2901;День рождения американской телеведущей Опры Уинфри;ru;1;29 января;0;Уинфри,_Опра
40;;3001;День рождения И.О. Дунаевского;ru;1;30 января;0;Дунаевский,_Исаак_Осипович
41;;3101;Открытие Московского зоопарка;ru;2;31 января;0;Московский_зоопарк
42;;3101;День рождения Ванги;ru;1;31 января;0;Ванга
43;1931;102;День рождения Б.Н.Ельцина;ru;1;1 февраля;0;Ельцин,_Борис_Николаевич
44;1943;202;День воинской славы России — День победы в Сталинградской битве;ru;1;2 февраля;0;Сталинградская_битва
45;;302;День рождения Веры Брежневой;ru;1;3 февраля;0;Брежнева,_Вера
46;;402;Всемирный день борьбы против рака;ru;1;4 февраля;0;Всемирный_день_борьбы_против_рака
47;;602;Международный день бармена;ru;1;6 февраля;0;Международный_день_бармена
48;;702;Церемония открытия зимних XXII Олимпийских Игр в Сочи 2014г.;ru;1;7 февраля;0;Церемония_открытия_зимних_Олимпийских_игр_2014
49;;802;День Российской Науки;ru;1;8 февраля;0;День_российской_науки
50;;802;День риэлтора;ru;2;8 февраля;0;День_риелтора
51;;902;Международный день стоматолога;ru;1;9 февраля;0;Международный_день_стоматолога
52;;902;Международный день гражданской авиации;ru;2;9 февраля;0;Международный_день_гражданской_авиации
53;;1002;День Дипломатического Работника;ru;2;10 февраля;0;День_дипломатического_работника
54;;1002;День памяти А.С. Пушкина;ru;1;10 февраля;0;Пушкин,_Александр_Сергеевич
55;;1102;Всемирный день больного ;ru;1;11 февраля;0;Всемирный_день_больного
56;1809;1209;День рождения Ч. Дарвина;ru;1;12 феварля;0;Дарвин,_Чарльз
57;1881;1209;День рождения русской балерины А.Павловой;ru;2;12 феварля;0;Павлова,_Анна_Павловна
58;;1302;День рождения баснописца И. А. Крылова;ru;1;13 февраля;0;Крылов,_Иван_Андреевич
59;;1402;День Святого Валентина / День Всех Влюбленных;ru;1;14 февраля;0;День_святого_Валентина
60;;1502;День памяти воинов-интернационалистов;ru;1;15 февраля;0;День_памяти_воинов-интернационалистов
61;1919;1602;Скончалась В.В.Холодная-актриса немого кино;ru;1;16 февраля;0;Холодная,_Вера_Васильевна
62;;1702;Скончался философ-поэт Джордано Бруно;ru;1;17 февраля;0;Джордано_Бруно
63;;1802;День транспортной милиции России;ru;1;18 февраля;0;День_транспортной_милиции_России
64;;1902;Всемирный день защиты китов;ru;2;19 февраля;0;Всемирный_день_китов_и_дельфинов
65;;1902;Китайский Новый год;ru;1;19 февраля;0;Китайский_Новый_год
66;;2002;Всемирный день социальной справедливости;ru;1;20 февраля;0;Всемирный_день_социальной_справедливости
67;;2102;Международный день родного языка;ru;2;21 февраля;0;Международный_день_родного_языка
68;;2102;"День рождения солиста группы ""Любе"" Н. Расторгуева";ru;1;21 февраля;0;Расторгуев,_Николай_Вячеславович
69;;2202;Международный день поддержки жертв преступлений;ru;1;22 февраля;0;Международный_день_поддержки_жертв_преступлений
70;;2302;День Защитника Отечества;ru;1;23 февраля;0;День_защитника_Отечества
71;;2402;"Первый выпуск программы ""Очевидное-невероятное""";ru;1;24 февраля;0;Очевидное_—_невероятное
72;;2502;День рождения Джорджа Харрисона;ru;1;25 февраля;0;Харрисон,_Джордж
73;;2602;День рождения французского писателя Виктора Гюго;ru;1;26 февраля;0;Гюго,_Виктор
74;;2702;День рождения Элизабет Тейлор;ru;1;27 февраля;0;Тейлор,_Элизабет
75;;2802;Международный день редких заболеваний;ru;1;28 февраля;0;Редкие_заболевания
76;;103;Всемирный день гражданской обороны;ru;4;1 марта;0;Международная_организация_гражданской_обороны
77;;103;День открытия переодической системы Менделеева;ru;1;1 марта;0;Периодическая_система_химических_элементов
78;;103;Скончался Владислав Листьев;ru;3;1 марта;0;Убийство_Владислава_Листьева
79;;103;День кошек в России;ru;2;1 марта;0;День_кошки
80;;203;День рождения основоположника педагогики К.Д.Ушинского;ru;1;2 марта;0;Ушинский,_Константин_Дмитриевич
81;;303;Всемирный день писателя;ru;1;3 марта;0;Всемирный_день_писателя
82;;403;Открытие памятника Минину и Пожарскому;ru;2;4 марта;0;Памятник_Минину_и_Пожарскому
83;;403;Скончался Н.В. Гоголь;ru;1;4 марта;0;Гоголь,_Николай_Васильевич
84;;503;Скончалась поэтесса Анна Ахматова;ru;1;5 марта;0;Ахматова,_Анна_Андреевна
85;;603;День рождения первой женщины космонавта В. Терешковой;ru;1;6 марта;0;Терешкова,_Валентина_Владимировна
86;;703;Скончался американский кинорежисер Стенли Кубрик;ru;1;7 марта;0;Кубрик,_Стэнли
87;;803;Международный Женский День;ru;1;8 марта;0;Международный_женский_день
88;;903;День рождения первого космонавта Юрия Гагарина;ru;1;9 марта;0;Гагарин,_Юрий_Алексеевич
89;;903;Международный день диджея;ru;2;9 марта;0;Диджей
90;;1003;День  рождения американской актрисы Шерон Стоун;ru;1;10 марта;0;Стоун,_Шэрон
91;;1003;День Архивов;ru;2;10 марта;0;День_архивов
92;;1103;День работника органов наркоконтроля;ru;1;11 марта;0;Федеральная_служба_Российской_Федерации_по_контролю_за_оборотом_наркотиков
93;;1203;День Работников Уголовно-Исполнительной Системы Минюста России;ru;2;12 марта;0;День_работников_уголовно-исполнительной_системы_Минюста
94;;1203;День рождения Лайзы Миннелли ;ru;1;12 марта;0;Миннелли,_Лайза
95;;1303;Всемирный день сна;ru;1;13 марта;0;Всемирный_день_сна
96;;1403;Международный день числа «Пи»;ru;1;14 марта ;0;День_числа_пи
97;;1403;Международный день действий против плотин;ru;2;14 марта ;0;Международный_день_действий_против_плотин
98;;1503;Всемирный день защиты прав потребителей;ru;1;15 марта;0;Всемирный_день_защиты_прав_потребителей
99;;1603;День службы ОБЭП;ru;2;16 марта;0;Отдел_по_борьбе_с_экономическими_преступлениями
100;;1603;День рождения изобретателя радио А.С. Попова;ru;1;16 марта;0;Попов,_Александр_Степанович
101;;1703;День рождения фломастера;ru;1;17 марта;0;Фломастер
102;;1803;Первый выход в космос(Леонов А.А.);ru;1;18 марта;0;Выход_в_открытый_космос
103;;1803;День рождение французского режисера Люка Бессона;ru;2;18 марта;0;Бессон,_Люк
104;;1903;День моряка-поводника;ru;2;19 марта;0;День_моряка-подводника
105;1955;1903;День рождения Брюса Уиллиса;ru;1;19 марта;0;Уиллис,_Брюс
106;;2003;Международный день астрологии;ru;3;20 марта;0;Международный_день_астрологии
107;;2003;Международный день счастья;ru;2;20 марта;0;Международный_день_счастья
108;;2003;День весеннего равноденствия;ru;1;20 марта;0;Равноденствие
109;;2103;Международный день лесов;ru;4;21 марта;0;Международный_день_лесов
110;;2103;Всемирный день поэзии;ru;3;21 марта;0;Всемирный_день_поэзии
111;;2103;Международный день человека с синдромом Дауна;ru;1;21 марта;0;Международный_день_человека_с_синдромом_Дауна
112;;2103;Международный день театра кукол;ru;2;21 марта;0;Международный_день_театра_кукол
113;;2203;День Балтийского моря;ru;1;22 марта;0;День_Балтийского_моря
114;;2303;День работников гидрометеорологической службы России;ru;2;23 марта;0;Всемирный_метеорологический_день
115;;2303;Скончалась Элизабет Тейлор;ru;1;23 марта ;0;Тейлор,_Элизабет
116;;2403;Скончался Жюль Верн;ru;1;24 марта;0;Верн,_Жюль
117;;2503;День работника культуры;ru;1;25 марта;0;День_работника_культуры_(Россия)
118;;2503;День рождения британскогоо певца Элтона Джона;ru;2;25 марта;0;Элтон_Джон
119;1944;2603;День рождения американской певицы Дайаны Росс ;ru;2;26 марта;0;Росс,_Дайана
120;;2603;Скончался Людвиг Ван Бетховен;ru;1;26 марта;0;Бетховен,_Людвиг_ван
121;;2703;День Внутренних Войск МВД России;ru;1;27 марта;0;День_внутренних_войск_МВД_России
122;;2703;Всемирный день театра;ru;2;27 марта;0;Всемирный_день_театра
123;;2703;День рождения Квентина Тарантино;ru;3;27 марта;0;Тарантино,_Квентин
124;;2703;Скончался первый космонавт Юрий Гагарин;ru;4;27 марта;0;Гагарин,_Юрий_Алексеевич
125;;2803;"Ежегодная акция бережного отношения к природе ""Час Земли""";ru;1;28 марта;0;Час_Земли
126;;2803;День рождения русского писателя Максима Горького;ru;2;28 марта;0;Максим_Горький
127;;2803;День рождения американской певицы Леди Гаги;ru;1;28 марта;0;Леди_Гага
128;;2903;День специалиста юридической службы;ru;1;29 марта;0;День_специалиста_юридической_службы
129;;3003;Скончалась Людмила Гурченко;ru;1;30 марта;0;Гурченко,_Людмила_Марковна
130;;3103;День рождения Рене Декарта;ru;1;31 марта;0;Декарт,_Рене
131;;104;День Смеха / День Дурака;ru;1;1 апреля;0;День_смеха
132;;104;Международный день птиц;ru;2;1 апреля;0;Международный_день_птиц
133;;104;День рождения Н.В. Гоголя;ru;3;1 апреля;0;Гоголь,_Николай_Васильевич
134;;104;Скончалась детская писательница Агния Барто;ru;4;1 апреля;0;Барто,_Агния_Львовна
135;;204;День Единения Народов Беларуси И России;ru;2;2 апреля;0;День_единения_народов
136;;204;Международный день детской книги;ru;1;2 апреля;0;Международный_день_детской_книги
137;;304;День рождения американского актера Марлона Брандо;ru;2;3 апреля;0;Брандо,_Марлон
138;;304;День рождения американского актера Эдди Мерфи;ru;1;3 апреля;0;Мерфи,_Эдди
139;;304;День рождения американского актера Алека Болдуина;ru;3;3 апреля;0;Болдуин,_Алек
140;;404;Всемирный День Интернета;ru;1;4 апреля;0;День_Интернета
141;;404;День роождения американского актера Роберта Дауни младшего;ru;2;4 апреля;0;Дауни,_Роберт_(младший)
142;;404;День рождения теле-радиоведущего Антона Камолова;ru;3;4 апреля;0;Комолов,_Антон_Игоревич
143;;504;День Геолога;ru;1;5 апреля;0;День_геолога
144;;604;День работника следственных органов;ru;1;6 апреля;0;День_работника_следственных_органов
145;;704;Всемирный день здоровья;ru;2;7 апреля;0;Всемирный_день_здоровья
146;;704;День рождения Рунета;ru;1;7 апреля;0;Рунет
147;1954;704;День рождения актера Джеки Чана;ru;3;7 апреля;0;Чан,_Джеки
148;;804;День сотрудников Военных комиссариатов;ru;1;8 апреля;0;Военный_комиссариат
149;;804;Международный день цыган;ru;2;8 апреля;0;Международный_день_цыган
150;;904;"Великий(""Чистый"") четверг- христианский праздник";ru;1;9 апреля;0;Великий_четверг
151;;1004;Международный день движения сопротивления;ru;1;10 апреля;0;Международный_день_движения_Сопротивления
152;;1104;Международный день освобождения узников фашистских концлагерей;ru;1;11 апреля;0;Международный_день_освобождения_узников_фашистских_концлагерей
153;;1204;Всемирный День Авиации И Космонавтики;ru;1;12 апреля;0;День_космонавтики
154;;1204;Православная Пасха;ru;2;12 апреля;0;Пасха
155;;1204;День войск противовоздушной обороны России;ru;3;12 апреля;0;День_войск_противовоздушной_обороны_(Россия)
156;;1204;День рождения росийского клуна-кошковода Ю. Куклачева;ru;4;12 апреля;0;Куклачёв,_Юрий_Дмитриевич
157;;1304;Всемирный день рок-н-ролла;ru;1;13 апреля;0;Рок-н-ролл
158;;1304;День рождения шахматиста Г. Каспарова;ru;2;13 апреля;0;Каспаров,_Гарри_Кимович
159;;1404;Скончался поэт В.Маяковский;ru;1;14 апреля;0;Маяковский,_Владимир_Владимирович
160;;1504;Родился Леонардо да Винчи;ru;2;15 апреля;0;Леонардо_да_Винчи
161;;1504;День рождения эстрадной певицы А. Б. Пугачевой;ru;1;15 апреля;0;Пугачёва,_Алла_Борисовна
162;1889;1604;День рождения Чарли Чаплина;ru;1;16 апреля;0;Чаплин,_Чарльз
163;;1704;Всемирный день гемофилии;ru;2;17 апреля;0;Всемирный_день_гемофилии
164;1242;1704;День воинской славы России — Ледовое побоище;ru;1;17 апреля;0;Ледовое_побоище
165;;1704;Всемирный день радиолюбителя;ru;3;17 апреля;0;Всемирный_день_радиолюбителя
166;1955;1804;Скончался физик Альберт Эйнштейн;ru;1;18 апреля;0;Эйнштейн,_Альберт
167;;1904;Скончался физик П.Кюри;ru;1;19 апреля;0;Кюри,_Пьер
168;;1904;Скончался ученый Ч. Дарвин;ru;2;19 апреля;0;Дарвин,_Чарлз
169;;2004;День рождения А. Гитлера;ru;1;20 апреля;0;Гитлер,_Адольф
170;;2104;День главого бухгалтера в России;ru;1;21 апреля;0;День_бухгалтера
171;1958;2104;День рождения американской актрисы Энди Макдауэлл;ru;2;21 апреля;0;Макдауэлл,_Энди
172;1910;2104;Скончался писатель Марк Твен;ru;3;21 апреля;0;Марк_Твен
173;;2204;Международный день земли;ru;4;22 апреля;0;День_Земли
174;1724;2204;День рождения философа Иммануила Канта;ru;3;22 апреля;0;Кант,_Иммануил
175;1870;2204;День рождения В.И. Ленина;ru;1;22 апреля;0;Ленин,_Владимир_Ильич
176;;2204;День секретаря;ru;2;22 апреля;0;День_профессиональных_административных_работников
177;1918;2304;День рождения писателя Мориса Дрюона;ru;2;23 апреля;0;Дрюон,_Морис
178;;2304;День рождения поэта драматурга Уильяма Шекспира;ru;1;23 апреля;0;Шекспир,_Уильям
179;;2404;Международный день солидарности молодежи;ru;2;24 апреля;0;Международный_день_солидарности_молодёжи
180;1952;2404;День рождение модельера Жан-Поля Готье;ru;1;24 апреля;0;Готье,_Жан-Поль
181;;2504;Всемирный день борьбы против малярии;ru;2;25 апреля;0;Всемирный_день_борьбы_против_малярии
182;;2504;День ДНК;ru;3;25 апреля;0;День_ДНК
183;1940;2504;День рождения актера Аль Пачино;ru;1;25 апреля;0;Пачино,_Аль
184;1986;2604;Авария на Чернобыльской АЭС;ru;1;26 апреля;0;День_памяти_погибших_в_радиационных_авариях_и_катастрофах
185;1969;2704;День рождение певца Стаса Михайлова;ru;2;27 апреля;0;Михайлов,_Стас
186;1933;2704;День рождения врача-хирурга Л.Рошаля;ru;1;27 апреля;0;Рошаль,_Леонид_Михайлович
187;;2704;День российского парламентаризма;ru;3;27 апреля;0;День_российского_парламентаризма
188;;2804;Всемирный день охраны труда;ru;1;28 апреля;0;Всемирный_день_охраны_труда
189;;2804;Скончался великий русский полководец М.И.Кутузов;ru;2;28 апреля;0;Кутузов,_Михаил_Илларионович
190;;2904;Международный день танца;ru;1;29 апреля;0;Международный_день_танца
191;;3004;День Пожарной Охраны;ru;3;30 апреля;0;День_пожарной_охраны_России
192;;3004;Вальпургиева ночь(Ночь ведьм);ru;2;30 апреля;0;Вальпургиева_ночь
193;;3004;Скончался Адольф Гитлер;ru;1;30 апреля;0;Гитлер,_Адольф
194;;105;Праздник Весны и Труда (День Труда);ru;1;1 мая;0;Первое_мая_(праздник)
195;;205;День рождения английского писателя Джером К. Джерома;ru;1;2 мая;0;Джером,_Джером_Клапка
196;;305;Всемирный день солнца;ru;1;3 мая;0;Всемирный_день_свободы_печати
197;;305;Деь молчания;ru;2;3 мая;0;День_молчания
198;;405;День рождения актрисы Одри Хепберн;ru;2;4 мая;0;Хепбёрн,_Одри
199;;405;"День ""Звездных войн""";ru;1;4 мая;0;День_Звёздных_войн
200;;505;Международный день борьбы за права инвалидов;ru;1;5 мая;0;Международный_день_борьбы_за_права_инвалидов
201;;505;Международный день акушерки;ru;2;5 мая;0;Международный_день_акушерки
202;;505;День водолаза в России;ru;1;5 мая;0;День_Водолаза
203;;505;День шифровальщика в России;ru;2;5 мая;0;День_шифровальщика
204;;605;День рождения психолога Зигмунда Фрейда;ru;1;6 мая;0;Фрейд,_Зигмунд
205;;605;Скончалась итальянский педагог Мария Монтессори;ru;2;6 мая;0;Монтессори,_Мария
206;;705;День Радио;ru;1;7 мая;0;День_радио
207;;705;День рождение композитора П.И.Чайковского;ru;2;7 мая;0;Чайковский,_Пётр_Ильич
208;;705;День работников уголовно-исполнительных инспекций ФСИН ;ru;3;7 мая;0;Федеральная_служба_исполнения_наказаний
209;;805;Скончался живописец Поль Гоген;ru;2;8 мая;0;Гоген,_Поль
210;;805;День рождения кинорежисера Валерия Тодоровского;ru;1;8 мая;0;Тодоровский,_Валерий_Петрович
211;;905;День Победы;ru;1;9 мая;16731919;День_Победы
212;;905;День рождения певца и поэта Б.Окуджавы;ru;2;9 мая;0;Окуджава,_Булат_Шалвович
213;;1005;Скончался русский писатель М. Е. Салтыков-Щедрин;ru;1;10 мая;0;Салтыков-Щедрин,_Михаил_Евграфович
214;;1105;День рождения художника  Сальвадора Дали;ru;1;11 мая;0;Дали,_Сальвадор
215;;1105;Скончался регги-музыкант Боб Марли;ru;2;11 мая;0;Марли,_Боб
216;;1205;Международный день медицинской сестры;ru;1;12 мая;0;Международный_день_медицинской_сестры
217;;1305;День Черноморского флота ВМФ России;ru;1;13 мая;0;Черноморский_флот_ВМФ_России
218;;1305;День конвоира;ru;2;13 мая;0;День_охранно-конвойной_службы
219;;1405;День рождения Марка Цукенберга;ru;1;14 мая;0;Цукерберг,_Марк
220;;1505;День отказника от военной службы;ru;1;15 мая;0;Международный_день_отказника_от_военной_службы_по_убеждениям_совести
221;;1605;День калмыцкого чая;ru;1;16 мая;0;День_калмыцкого_чая
222;;1605;Скончался писатель Шарль Перро;ru;2;16 мая;0;Перро,_Шарль
223;;1705;Всемирный день электросвязи и информационного общества;ru;2;17 мая;0;Всемирный_день_электросвязи_и_информационного_общества
224;;1705;Международный день борьбы с гомофобией;ru;1;17 мая;0;Международный_день_борьбы_с_гомофобией
225;;1805;Международный день музеев;ru;2;18 мая;0;Международный_день_музеев
226;;1805;День рождения философа Омар Хайяма;ru;1;18 мая;0;Омар_Хайям
227;;1805;День Балтийского флота ВМФ России;ru;1;18 мая;0;Балтийский_флот_ВМФ_России
228;;1905;День рождения телеведущей Леры Кудрявцевой;ru;1;19 мая;0;Кудрявцева,_Валерия_Львовна
229;;2005;Всемирный день метрологии;ru;3;20 мая;0;Всемирный_день_метрологии
230;;2005;День рождения советского авиаконструктора А.А. Туполева;ru;2;20 мая;0;Туполев,_Алексей_Андреевич
231;;2005;День рождения писателя Бориса Акунина;ru;1;20 мая;0;Борис_Акунин
232;;2105;День полярника;ru;1;21 мая;0;День_полярника
233;;2205;Международный день биологического разнообразия;ru;3;22 мая;0;Международный_день_биологического_разнообразия
234;;2205;День рождения английского писателя Артура Конан Дойля;ru;1;22 мая;0;Дойл,_Артур_Конан
235;;2205;Скончался писатель Виктор Гюго;ru;2;22 мая;0;Гюго,_Виктор
236;;2305;День рождения шахматиста А. Карпова;ru;1;23 мая;0;Карпов,_Анатолий_Евгеньевич
237;;2405;День славянской письменности;ru;1;24 мая;0;День_славянской_письменности_и_культуры
238;;2405;День кадрового работника;ru;2;24 мая;0;День_кадрового_работника
239;;2405;День Кирилла и Мефодия;ru;3;24 мая;0;Кирилл_и_Мефодий
240;;2505;День филолога;ru;2;25 мая;0;День_филолога
241;;2505;Праздник школьников - Последний звонок;ru;1;25 мая;0;Последний_звонок
242;;2505;День детей пропавших без вести;ru;3;25 мая;0;Пропавший_без_вести
243;;2605;День российского предпринимательства;ru;1;26 мая;0;День_российского_предпринимательства
244;;2705;Всероссийский День Библиотек;ru;1;27 мая;0;Общероссийский_день_библиотек
245;;2705;День города Санк-Петербурга;ru;1;27 мая;0;Санкт-Петербург
246;;2805;День Пограничника;ru;1;28 мая;0;День_пограничника
247;;2905;День военного автомобилиста;ru;1;29 мая;0;День_военного_автомобилиста
248;;2905;День ветеранов таможенной службы;ru;1;29 мая;0;День_ветеранов_таможенной_службы
249;;3005;День рождения русского полководца А.Невского;ru;2;30 мая;0;Александр_Ярославич_Невский
250;;3005;Скончалась Жанна д’Арк;ru;1;30 мая;0;Жанна_д’Арк
251;;3105;Всемирный день без табака;ru;1;31 мая;0;Всемирный_день_без_табака
252;;3105;День российской адвокатуры;ru;2;31 мая;0;День_российской_адвокатуры
253;;106;Международный день защиты детей;ru;1;1 июня ;0;Международный_день_защиты_детей
254;;106;День Северного флота ВМФ России;ru;2;1 июня ;0;Северный_флот_ВМФ_России
